REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jul-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,187.9,,,,1
Aug-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,191.7,,,,1
Sep-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,193.8,,,,1
Oct-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,193.6,,,,1
Nov-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,194.1,,,,1
Dec-23,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,194,,,,1
Jan-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,194.7,,,,1
Feb-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,195.6,,,,1
Mar-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,196.5,,,,1
Apr-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,197.2,,,,1
May-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,196.2,,,,1
Jun-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,196.4,,,,1
Jul-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,195.8,,,,1
Aug-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,199.2,,,,1
Sep-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,198.9,,,,1
Oct-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,200.2,,,,1
Nov-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,201.2,,,,1
Dec-24,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,201.8,,,,1
Jan-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,204.3,,,,1
Feb-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,203.3,,,,1
Mar-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,203.3,,,,1
Apr-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,202,,,,1
May-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,202.2,,,,1
Jun-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,202.9,,,,1
Jul-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,206.1,,,,1
Aug-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,205.7,,,,1
Sep-25,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,207,,,,1
Jan-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,120.7,,,,1
Feb-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,121.6,,,,1
Mar-20,Newfoundland and Labrador,2016A000210,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691289,3.96,121.6,,,,1
